IATA,City
LHR,ЛОНДОН
CDG,ПАРИЖ
FRA,ФРАНКФУРТ
AMS,АМСТЕРДАМ
IST,СТАМБУЛ
MAD,МАДРИД
MXP,МИЛАН
VIE,ВЕНА
ZRH,ЦЮРИХ
ATH,АТИНЫ
BRU,БРЮССЕЛЬ
LIS,ЛИСАБОН
STN,ЛОНДОН
DUB,ДУБЛИН
PRG,ПРАГА
MUC,МЮНХЕН
VKO,Москва
DME,Москва
MOW,Москва
LED,САНКТ-ПЕТЕРБУРГ
PEK,ПЕКИН
PVG,ШАНХАЙ
HKG,ГОНОКГОНГ
SIN,СИНГАПУР
ICN,СЕУЛ
KUL,КУАЛА-ЛУМПУР
BKK,БАНГКОК
DEL,ДЕЛИ
BOM,МУМБАИ
DXB,ДУБАЙ
AUH,АБУ-ДАБИ
DOH,ДОХА
SGN,ХОШИМИН
TPE,ТАЙПЕЙ
HND,ТОКИО
NRT,ТОКИО
KIX,ОСАКА
BJS,ПЕКИН
MNL,МАНИЛА
ABA,Абакан
DYR,Анадырь
AAQ,Анапа
ARH,Архангельск
ASF,Астрахань
BAX,Барнаул
EGO,Белгород
BQS,Благовещенск
BTK,Братск
BZK,Брянск
VRI,Варандей
VVO,Владивосток
OGZ,Владикавказ
VOG,Волгоград
VOZ,Воронеж
GRV,Грозный
SVX,Екатеринбург
IKT,Иркутск
KZN,Казань
KGD,Калининград
KLF,Калуга
KEJ,Кемерово
KRR,Краснодар
KJA,Красноярск
KRO,Курган
URS,Курск
LPK,Липецк
GDX,Магадан
MQF,Магнитогорск
MCX,Махачкала
MRV,Минеральные Воды
MMK,Мурманск
NAL,Нальчик
NJC,Нижневартовск
NBC,Нижнекамск
GOJ,Нижний Новгород
NOZ,Новокузнецк
OVB,Новосибирск
NSK,Норильск
OMS,Омск
REN,Оренбург
OSW,Орск
PEE,Пермь
PES,Петрозаводск
PKC,Петропавловск-Камчатский
PKV,Псков
ROV,Ростов-на-Дону
KUF,Самара
SKX,Саранск
GSV,Саратов
SIP,Симферополь
AER,Сочи
STW,Ставрополь
SGC,Сургут
SCW,Сыктывкар
TOF,Томск
TJM,Тюмень
UUD,Улан-Удэ
ULV,Ульяновск
UFA,Уфа
KHV,Хабаровск
HMA,Ханты-Мансийск
CSY,Чебоксары
CEK,Челябинск
CEE,Череповец
HTA,Чита
ESL,Элиста
UUS,Южно-Сахалинск
YKS,Якутск
IAR,Ярославль
GME,Гомель
VTB,Витебск
MSQ,Минск
MVQ,Могилёв
BQT,Брест
GYD,БАКУ
GBB,ГАБАЛА
GNJ,ГЯНДЖА
ZTU,ЗАГАТАЛЫ
LLK,ЛЕНКОРАНЬ
NAJ,НАХИЧЕВАНЬ
TBS,ТБИЛИСИ
BUS,БАТУМИ
KUT,КУТАИСИ
ESB,АНКАРА
IST,СТАМБУЛ
SAW,САБИХА ГОКЧЕН
AYT,АНТАЛЬЯ
ADB,ИЗМИР
BJV,БОДРУМ
DLM,ДАЛАМАН
GZP,ГАЗИПАША
ADA,АДАНА
HRG,ХУРГАДА
SSH,ШАРМ-ЭЛЬ-ШЕЙХ
CAI,КАИР
RMF,МАРСА-АЛАМ
LXR,ЛУКСОР
ABS,АБУ-СИМБЕЛ
PEK,ПЕКИН
PVG,ШАНХАЙ
CAN,ГУАНЧЖОУ
SZX,ШЭНЬЧЖЭНЬ
CTU,ЧЭНДУ
XMN,СЯМЭН
SYX,САНЬЯ
HAK,ХАЙКОУ
HAN,ХАНОЙ
SGN,ХОШИМИН
DAD,ДАНАНГ
CXR,НЯЧАНГ
PQC,ФУКУОК
BKK,БАНГКОК
DMK,ДОНМУАНГ
HKT,ПХУКЕТ
KBV,КРАБИ
USM,САМУИ
CNX,ЧИАНГМАЙ
UTP,ПАТТАЙЯ
DEL,ДЕЛИ
BOM,МУМБАИ
GOI,ГОА
MAA,ЧЕННАЙ
CCU,КОЛКАТА
BLR,БАНГАЛОР
ICN,СЕУЛ
GMP,КИМПХО
PUS,ПУСАН
CJU,ЧЕЧЖУ
